source,prediction,reference,sari_score,bleu_score,original_length,simplified_length
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro - arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro - arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflicts is made of sudanese military and the janjaweed, a sudanese militia recruited from the afro - arab abbala tribes of the northern rizeigat region in sudan.",61.53168717260181,73.1845991990684,36,36
"jeddah is the principal gateway to mecca, islam's holiest city, which able - bodied muslims are required to visit at least once in their lifetime.","jeddah is the principal gateway to mecca, islam's holiest city, which able to visit at least once in their lifetime.","jeddah is the main gateway to mecca, islam's holiest city, which able - bodied muslims are supposed to viisit at least once in their lifetime.",38.223869729055316,57.38328923029568,25,20
the great dark spot is thought to represent a hole in the methane cloud deck of neptune.,the great dark spot is thought to represent a hole in the methane cloud deck of neptune.,the great dark spot is thought to represent a hole in the methane cloud deck of neptune.,100.0,100.00000000000004,17,17
"his next work, saturday, follows an especially eventful day in the life of a successful neurosurgeon.","his next work, saturday, follows an especially eventful day in the life of a successful neurosurge.",his next work at saturday will be a successful neurosurgeon.,12.14021164021164,10.307386760781874,16,16
"the tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","the tarantula character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","the tarantuala, the trickster, spun a black chord and attached it to the ball, crawling away fast to the east and pulling the chord with all his strength.",39.22534039663592,42.33412377983105,29,27
"there he died six weeks later, on 13 january 888.","he died six weeks later, on 13 january 888.",he died six weeks later on january 13th 888.,53.888888888888886,42.969435238201484,10,9
they are culturally akin to the coastal peoples of papua new guinea.,they are culturally akin to the coastal peoples of papua new guinea.,their culture is similar to the culture of the coastal peoples of papua new guinea.,58.25609031491384,47.2892377136714,12,12
"since 2000, the recipient of the kate greenaway medal has also been presented with the colin mears award to the value of £ 5000.","since 2000, the recipient of the kate greenaway medal has also been presented with the colin mears award to the value of $ 5000.","since 2000, the recipient of the kate greenway medal has also been presented with the colin mears award to the value of 5000 pounds.",64.31506771835757,78.78532351486828,24,24
"following the drummers are dancers, who often play the sogo ( a tiny drum that makes almost no sound ) and tend to have more elaborate — even acrobatic — choreography.","following the drummers are dancers, who often play the sogo, and tend to have more elaborate music.",the drummers are dancers and often play the sogo which they tend to have arcobatic choreography.,51.68099153620097,30.752616970214323,31,17
"the spacecraft consists of two main elements : the nasa cassini orbiter, named after the italian - french astronomer giovanni domenico cassini, and the esa huygens probe, named after the dutch astronomer, mathematician and physicist christiaan huygens.","the spacecraft has two main elements : the nasa cassini orbiter, named after the italian astronomer giovanni domenico cassini, and the esa huygens probe.","the spacecraft is having two main parts. one is known as nasa cassini orbiter. it is named after giovanni domenico cassini, an italian - french astronomer. the other part is known as esa huygens probe. it is named after christiaan huygens. he was a dutch astronomer, mathematician and physicist.",31.446344407541023,9.063215917503971,37,24
"alessandro ( "" sandro "" ) mazzola ( born 8 november 1942 ) is an italian former football player.","alessandro mazzola - lrb - born 8 november, 1942 - rrb - is a former italian football player.",alessandro mazzola is an italian former football player.,38.44421101774043,10.079037376973913,19,18
it was originally thought that the debris thrown up by the collision filled in the smaller craters.,it was thought that the debris thrown up by the collision filled in the smaller craters.,it was thought that the debris thrown up by the collision filled the smaller craters.,87.23679826753289,82.82477531331043,17,16
"graham attended wheaton college from 1939 to 1943, when he graduated with a ba in anthropology.","graham attended wheaton college from 1939 to 1943, where he graduated with a ba in anthropology.",graham attended wheaton college from 1939 to 1943 and graduated with a ba in anthropology.,64.02281746031746,71.60350546947924,16,16
